Year,Month,Month_Year_State,State,Type_severity
2016,1,1-2016-AZ,AZ,Rain-Light
2016,1,1-2016-CA,CA,Rain-Light
2016,1,1-2016-CO,CO,Snow-Light
2016,1,1-2016-FL,FL,Rain-Light
2016,1,1-2016-GA,GA,Rain-Light
2016,1,1-2016-IL,IL,Snow-Light
2016,1,1-2016-MA,MA,Snow-Light
2016,1,1-2016-NY,NY,Snow-Light
2016,1,1-2016-PA,PA,Snow-Light
2016,1,1-2016-TN,TN,Rain-Light
2016,1,1-2016-TX,TX,Rain-Light
2016,1,1-2016-WA,WA,Rain-Light
2016,2,2-2016-AZ,AZ,Rain-Light
2016,2,2-2016-CA,CA,Fog-Moderate
2016,2,2-2016-CO,CO,Snow-Light
2016,2,2-2016-FL,FL,Rain-Light
2016,2,2-2016-GA,GA,Rain-Light
2016,2,2-2016-IL,IL,Snow-Light
2016,2,2-2016-MA,MA,Rain-Light
2016,2,2-2016-NY,NY,Snow-Light
2016,2,2-2016-PA,PA,Snow-Light
2016,2,2-2016-TN,TN,Rain-Light
2016,2,2-2016-TX,TX,Rain-Light
2016,2,2-2016-WA,WA,Rain-Light
2016,3,3-2016-AZ,AZ,Rain-Light
2016,3,3-2016-CA,CA,Rain-Light
2016,3,3-2016-CO,CO,Snow-Light
2016,3,3-2016-FL,FL,Rain-Light
2016,3,3-2016-GA,GA,Rain-Light
2016,3,3-2016-IL,IL,Rain-Light
2016,3,3-2016-MA,MA,Rain-Light
2016,3,3-2016-NY,NY,Rain-Light
2016,3,3-2016-PA,PA,Rain-Light
2016,3,3-2016-TN,TN,Rain-Light
2016,3,3-2016-TX,TX,Rain-Light
2016,3,3-2016-WA,WA,Rain-Light
2016,4,4-2016-AZ,AZ,Rain-Light
2016,4,4-2016-CA,CA,Rain-Light
2016,4,4-2016-CO,CO,Rain-Light
2016,4,4-2016-FL,FL,Rain-Light
2016,4,4-2016-GA,GA,Rain-Light
2016,4,4-2016-IL,IL,Rain-Light
2016,4,4-2016-MA,MA,Rain-Light
2016,4,4-2016-NY,NY,Rain-Light
2016,4,4-2016-PA,PA,Rain-Light
2016,4,4-2016-TN,TN,Rain-Light
2016,4,4-2016-TX,TX,Rain-Light
2016,4,4-2016-WA,WA,Rain-Light
2016,5,5-2016-AZ,AZ,Rain-Light
2016,5,5-2016-CA,CA,Rain-Light
2016,5,5-2016-CO,CO,Rain-Light
2016,5,5-2016-FL,FL,Rain-Light
2016,5,5-2016-GA,GA,Rain-Light
2016,5,5-2016-IL,IL,Rain-Light
2016,5,5-2016-MA,MA,Rain-Light
2016,5,5-2016-NY,NY,Rain-Light
2016,5,5-2016-PA,PA,Rain-Light
2016,5,5-2016-TN,TN,Rain-Light
2016,5,5-2016-TX,TX,Rain-Light
2016,5,5-2016-WA,WA,Rain-Light
2016,6,6-2016-AZ,AZ,Rain-Light
2016,6,6-2016-CA,CA,Fog-Moderate
2016,6,6-2016-CO,CO,Rain-Light
2016,6,6-2016-FL,FL,Rain-Light
2016,6,6-2016-GA,GA,Rain-Light
2016,6,6-2016-IL,IL,Rain-Light
2016,6,6-2016-MA,MA,Rain-Light
2016,6,6-2016-NY,NY,Rain-Light
2016,6,6-2016-PA,PA,Rain-Light
2016,6,6-2016-TN,TN,Rain-Light
2016,6,6-2016-TX,TX,Rain-Light
2016,6,6-2016-WA,WA,Rain-Light
2016,7,7-2016-AZ,AZ,Rain-Light
2016,7,7-2016-CA,CA,Fog-Moderate
2016,7,7-2016-CO,CO,Rain-Light
2016,7,7-2016-FL,FL,Rain-Light
2016,7,7-2016-GA,GA,Rain-Light
2016,7,7-2016-IL,IL,Rain-Light
2016,7,7-2016-MA,MA,Rain-Light
2016,7,7-2016-NY,NY,Rain-Light
2016,7,7-2016-PA,PA,Rain-Light
2016,7,7-2016-TN,TN,Rain-Light
2016,7,7-2016-TX,TX,Rain-Light
2016,7,7-2016-WA,WA,Rain-Light
2016,8,8-2016-AZ,AZ,Rain-Light
2016,8,8-2016-CA,CA,Fog-Moderate
2016,8,8-2016-CO,CO,Rain-Light
2016,8,8-2016-FL,FL,Rain-Light
2016,8,8-2016-GA,GA,Rain-Light
2016,8,8-2016-IL,IL,Rain-Light
2016,8,8-2016-MA,MA,Rain-Light
2016,8,8-2016-NY,NY,Rain-Light
2016,8,8-2016-PA,PA,Rain-Light
2016,8,8-2016-TN,TN,Rain-Light
2016,8,8-2016-TX,TX,Rain-Light
2016,8,8-2016-WA,WA,Fog-Moderate
2016,9,9-2016-AZ,AZ,Rain-Light
2016,9,9-2016-CA,CA,Fog-Moderate
2016,9,9-2016-CO,CO,Rain-Light
2016,9,9-2016-FL,FL,Rain-Light
2016,9,9-2016-GA,GA,Rain-Light
2016,9,9-2016-IL,IL,Rain-Light
2016,9,9-2016-MA,MA,Rain-Light
2016,9,9-2016-NY,NY,Rain-Light
2016,9,9-2016-PA,PA,Rain-Light
2016,9,9-2016-TN,TN,Rain-Light
